first_seen	category	title	url	source_type	pattern_tags
2026-05-29	服饰	AI 女装/穿搭矩阵带货案例	https://finance.sina.com.cn/jjxw/2026-05-11/doc-inhxpati1943774.shtml	二手来源	场景化种草,AI模特,矩阵分发
2026-05-29	服饰	热门 AI 服装带货视频详解	https://jingxuan.douyin.com/m/video/7634834014402006322	抖音精选公开页	AI穿搭拆解,案例复盘
2026-05-29	服饰	服装带货 AI 视频低成本批量制作方法	https://jingxuan.douyin.com/m/video/7629250243690835620	抖音精选公开页	批量生产,AI剪辑
2026-05-29	食品	AI 带货视频账号样本：果丹皮/甜瓜/花雕酒等	https://jingxuan.douyin.com/m/video/7622119252312760507	抖音精选公开页	试吃反应,地方特产
2026-05-29	食品	水果带货 AI 辅助创作案例	https://jingxuan.douyin.com/m/video/7626270218192506150	抖音精选公开页	质感微距,AI辅助创作
2026-05-29	家电/家居	Seedance 2.0 家电功能演示案例	https://www.volcengine.com/article/41032	厂商案例	功能可视化,操作步骤拆解
2026-05-29	家居生活	冰丝凉席广告视频拆解	https://pdf.dfcfw.com/pdf/H3_AP202605121822226465_1.pdf?1778623208000.pdf=	行业月报	产品卖点引入,优势展示
2026-05-30	无人机/摄影	博坦 ATOM 2S/ATOM 3 AI 跟随与航拍卖点	https://jingxuan.douyin.com/m/video/7614416853007486271	抖音精选公开页	功能可视化,AI跟随
2026-05-30	无人机/摄影	航景创新重载无人机高寒飞行样本	https://jingxuan.douyin.com/m/video/7614306472864918139	抖音精选公开页	极端场景证明,参数叙事
2026-05-30	美妆个护	AI 美妆机器人概念传播	https://jingxuan.douyin.com/m/video/7613295715804040502	抖音精选公开页	科技趋势讲解,服务机器人
2026-05-30	数码/通用电商工具	AI 带货视频类型大全	https://jingxuan.douyin.com/m/video/7618940566717386018	抖音精选公开页	类型盘点,工作流拆解
2026-05-30	数码/通用电商工具	AI 电商产品大片生成	https://jingxuan.douyin.com/m/video/7613712741857070336	抖音精选公开页	产品大片,光影转场
